"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat any a any","Nombre"
2018,4,"Les Corts",21,"Pedralbes","Home","60 anys",73
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","60 anys",36
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","60 anys",124
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","60 anys",78
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","60 anys",155
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","60 anys",262
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","60 anys",147
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Home","60 anys",83
2018,6,"Gràcia",29,"el Coll","Home","60 anys",35
2018,6,"Gràcia",30,"la Salut","Home","60 anys",74
2018,6,"Gràcia",31,"la Vila de Gràcia","Home","60 anys",250
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","60 anys",189
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","60 anys",149
2018,7,"Horta-Guinardó",34,"Can Baró","Home","60 anys",55
2018,7,"Horta-Guinardó",35,"el Guinardó","Home","60 anys",201
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","60 anys",60
2018,7,"Horta-Guinardó",37,"el Carmel","Home","60 anys",146
2018,7,"Horta-Guinardó",38,"la Teixonera","Home","60 anys",65
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","60 anys",42
2018,7,"Horta-Guinardó",40,"Montbau","Home","60 anys",24
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","60 anys",43
2018,7,"Horta-Guinardó",42,"la Clota","Home","60 anys",1
2018,7,"Horta-Guinardó",43,"Horta","Home","60 anys",134
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","60 anys",170
2018,8,"Nou Barris",45,"Porta","Home","60 anys",136
2018,8,"Nou Barris",46,"el Turó de la Peira","Home","60 anys",86
2018,8,"Nou Barris",47,"Can Peguera","Home","60 anys",10
2018,8,"Nou Barris",48,"la Guineueta","Home","60 anys",63
2018,8,"Nou Barris",49,"Canyelles","Home","60 anys",49
2018,8,"Nou Barris",50,"les Roquetes","Home","60 anys",93
2018,8,"Nou Barris",51,"Verdun","Home","60 anys",65
2018,8,"Nou Barris",52,"la Prosperitat","Home","60 anys",136
2018,8,"Nou Barris",53,"la Trinitat Nova","Home","60 anys",41
2018,8,"Nou Barris",54,"Torre Baró","Home","60 anys",17
2018,8,"Nou Barris",55,"Ciutat Meridiana","Home","60 anys",44
